threshold,area,perim,q2,arg2,q3,arg3,q4,arg4,q5,arg5,q6,arg6,q7,arg7,q8,arg8,lambda,velocity,pattern,timestep,vel_norm,isoperi_ratio,anisotro_ind,t_norm
15.0,261121.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,2.0,69.0,1.0,1.0,10.0,Inf,NaN,0.028180393659594506
25.0,213602.0,1162.004184082108,0.0900614688390952,1.570796326794897,0.07924835101907324,-3.098141758198262,0.1772763116861035,0.0,0.07924835101907324,3.098141758198262,0.09006146883909523,-1.570796326794897,5.339967170901612e-17,1.054313322098169,1.0,0.0,2.0,69.0,1.0,1.0,10.0,2309.976102270799,0.9173794584859423,0.028180393659594506
15.0,261121.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,2.0,69.0,1.0,2.0,10.0,Inf,NaN,0.05636078731918901
25.0,212622.0,1179.778787337692,0.02637163738332463,-1.570796326794897,0.119101433311144,-3.056087359911588,0.2951580553911409,0.0,0.119101433311144,3.056087359911588,0.02637163738332466,1.570796326794897,4.042107243541028e-17,-0.2110933332227465,1.0,0.0,2.0,69.0,1.0,2.0,10.0,2264.73545841225,0.9743059566118198,0.05636078731918901
15.0,261121.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,2.0,69.0,1.0,3.0,10.0,Inf,NaN,0.08454118097878352
25.0,212255.0,1178.8914857099,0.06674852032224093,-1.93459836864551,0.01357207189461139,3.141592653589793,0.2418445783569457,0.0,0.01357207189461139,-3.141592653589793,0.06674852032224098,1.934598368645509,5.140963621655706e-18,-0.4964227534048819,1.0,0.0,2.0,69.0,1.0,3.0,10.0,2262.5279994660723,0.9374280638307539,0.08454118097878352
15.0,261121.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,2.0,69.0,1.0,4.0,10.0,Inf,NaN,0.11272157463837802
25.0,210933.0,1202.322943214976,0.05885874876727142,1.857317262771291,0.02743426397298947,2.896613990462929,0.3507186311004543,0.0,0.02743426397298947,-2.896613990462929,0.05885874876727144,-1.85731726277129,2.301393254812923e-17,1.175387923222921,1.0,0.0,2.0,69.0,1.0,4.0,10.0,2204.617542863177,0.9444130306938531,0.11272157463837802
15.0,261121.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,2.0,69.0,1.0,5.0,10.0,Inf,NaN,0.14090196829797252
25.0,210596.0,1214.808224589214,0.04988197182371178,1.770143534495498,0.1175268190408213,2.944197093739913,0.3434219220501742,0.0,0.1175268190408213,-2.944197093739913,0.04988197182371181,-1.770143534495498,3.845761592111014e-17,-0.06182586609865178,1.0,0.0,2.0,69.0,1.0,5.0,10.0,2178.473385621398,0.9524880194513069,0.14090196829797252
15.0,261121.0,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,2.0,69.0,1.0,6.0,10.0,Inf,NaN,0.16908236195756704
