pattern,lambda,velocities,h_mins,h_max,dh,time
sine,1,0.0,0.9042909330025192,1.0895394940363512,0.18524856103383203,0.11272157463837802
sine,1,0.0,0.9053647836286703,1.0868418222658232,0.1814770386371528,0.14090196829797252
sine,1,0.0,0.9064385742146082,1.0841106903993312,0.177672116184723,0.16908236195756704
sine,1,0.0,0.9075122997610535,1.0813450833157028,0.17383278355464926,0.19726275561716153
sine,1,0.0,0.9085859553418871,1.0785439300397088,0.1699579746978217,0.22544314927675604
sine,1,0.0,0.9096595361045596,1.0757060991759584,0.16604656307139876,0.25362354293635053
sine,1,0.0,0.910733037270712,1.0728303938410308,0.16209735657031887,0.28180393659594505
sine,1,0.0,0.9118064541364616,1.0699155460236167,0.15810909188715516,0.30998433025553956
sine,1,0.0,0.9128797820729205,1.0669602102919389,0.15408042821901835,0.3381647239151341
sine,1,0.0,0.9139530165265103,1.0639629567528546,0.15000994022634428,0.3663451175747286
sine,1,0.0,0.9150261530192995,1.060922263151072,0.1458961101317725,0.39452551123432306
sine,1,0.0,0.9160991871493049,1.0578365059765544,0.1417373188272495,0.4227059048939176
sine,1,0.0,0.9171721145905405,1.0547039504240303,0.13753183583348982,0.4508862985535121
sine,1,0.0,0.9182449310935104,1.0515227390192845,0.13327780792577415,0.4790666922131066
sine,1,0.0,0.9193176324851099,1.0482908786912837,0.12897324620617379,0.5072470858727011
sine,1,0.0,0.9203902146689606,1.0450062260252695,0.12461601135630884,0.5354274795322956
sine,1,0.0,0.921462673625443,1.0416664703789327,0.12020379675348969,0.5636078731918901
sine,1,0.0,0.922535005411701,1.0383831129674304,0.11584810755572938,0.5917882668514847
sine,1,0.0,0.9236072061619102,1.0356157749324697,0.11200856877055954,0.6199686605110791
sine,1,0.0,0.9246792720870385,1.033316360595967,0.1086370885089285,0.6481490541706736
sine,1,0.0,0.9257511994751463,1.0314024852582144,0.10565128578306815,0.6763294478302682
sine,1,0.0,0.9268229846910608,1.0298139145989902,0.10299092990792935,0.7045098414898626
sine,1,0.0,0.9278946241766037,1.0285010331903077,0.10060640901370399,0.7326902351494572
sine,1,0.0,0.9289661144504011,1.0274289318259635,0.0984628173755624,0.7608706288090517
sine,1,0.0,0.9300374521077418,1.0265645845161997,0.0965271324084579,0.7890510224686461
sine,1,0.0,0.9311086338206123,1.0258840096255133,0.09477537580490103,0.8172314161282407
sine,1,0.0,0.9321796563374095,1.0253656168824585,0.09318596054504902,0.8454118097878351
sine,1,0.0,0.933250516482895,1.0249917671713502,0.09174125068845518,0.8735922034474297
sine,1,0.0,0.9343212111580569,1.024746657047871,0.09042544588981405,0.9017725971070242
sine,1,0.0,0.9353917373397858,1.024618723087315,0.08922698574752919,0.9299529907666186
sine,1,0.0,0.9364620920807657,1.0245944059348204,0.08813231385405473,0.9581333844262132
sine,1,0.0,0.9375322725091979,1.0246659827850657,0.0871337102758678,0.9863137780858077
sine,1,0.0,0.938602275828506,1.0248254258892775,0.08622315006077153,1.0144941717454021
sine,1,0.0,0.939672099317167,1.0250644975008525,0.08539239818368549,1.0426745654049967
sine,1,0.0,0.9407417403282713,1.0253748386867643,0.08463309835849298,1.0708549590645913
sine,1,0.0,0.9418111962893677,1.0257516029667473,0.08394040667737956,1.0990353527241856
sine,1,0.0,0.9428804647020217,1.0261906889596129,0.08331022425759116,1.1272157463837802
sine,1,0.0,0.9439495431413363,1.0266867499784285,0.08273720683709218,1.1553961400433748
sine,1,0.0,0.9447328986438691,1.0272336654753143,0.08250076683144514,1.1835765337029693
sine,1,0.0,0.9382921808506567,1.0278294553433056,0.08953727449264892,1.2117569273625637
sine,1,0.0,0.9314719006441715,1.0284727145293953,0.09700081388522375,1.2399373210221583
sine,1,0.0,0.9242078518043059,1.029157667237595,0.10494981543328918,1.2681177146817528
sine,1,0.0,0.9164190235325601,1.0298817270121872,0.11346270347962706,1.2962981083413472
sine,1,0.0,0.908001836844241,1.0306423239743516,0.12264048713011066,1.3244785020009417
sine,1,0.0,0.8988218960024066,1.0314371377700604,0.13261524176765382,1.3526588956605363
sine,1,0.0,0.8887019152851796,1.0322671413615887,0.1435652260764091,1.3808392893201307
sine,1,0.0,0.8774035740525621,1.033127321618254,0.15572374756569185,1.4090196829797252
sine,1,0.0,0.8645993699993704,1.034015199766753,0.16941582976738268,1.4372000766393198
sine,1,0.0,0.8498272411137824,1.0349283363715651,0.18510109525778273,1.4653804702989144
