Rupture_time,Lambda,v_theta_by_v0,Pattern,λ/L
1.6908236195756703,512,0.0,sin,1.0
1.7190040132352649,512,0.1,sin,1.0
2.338972673746344,512,1.0,sin,1.0
2.2544314927675604,512,10.0,sin,1.0
0.39452551123432306,256,0.0,sin,0.5
0.39452551123432306,256,0.1,sin,0.5
0.5917882668514847,256,1.0,sin,0.5
0.6763294478302682,256,10.0,sin,0.5
0.22544314927675604,171,0.0,sin,0.333984375
0.22544314927675604,171,0.1,sin,0.333984375
0.25362354293635053,171,1.0,sin,0.333984375
0.4508862985535121,171,10.0,sin,0.333984375
0.225443,128,0.0,sin,0.25
0.14090196829797252,128,0.1,sin,0.25
0.14653804702989143,128,1.0,sin,0.25
0.28744001532786395,128,10.0,sin,0.25
0.14090196829797252,102,0.0,sin,0.19921875
0.10990353527241857,102,0.1,sin,0.19921875
0.11272157463837802,102,1.0,sin,0.19921875
0.22544314927675604,102,10.0,sin,0.19921875
0.10990353527241857,85,0.0,sin,0.166015625
0.09017725971070242,85,0.1,sin,0.166015625
0.09017725971070242,85,1.0,sin,0.166015625
0.1719004013235265,85,10.0,sin,0.166015625
0.08905004396431863,73,0.0,sin,0.142578125
0.07890510224686462,73,0.1,sin,0.142578125
0.07890510224686462,73,1.0,sin,0.142578125
0.16062824385968869,73,10.0,sin,0.142578125
0.07777788650048084,64,0.0,sin,0.125
0.07045098414898626,64,0.1,sin,0.125
0.07045098414898626,64,1.0,sin,0.125
0.15217412576181033,64,10.0,sin,0.125
0.06932376840260249,56,0.0,sin,0.109375
0.06763294478302681,56,0.1,sin,0.109375
0.06763294478302681,56,1.0,sin,0.109375
0.15499216512776978,56,10.0,sin,0.109375
