velocities,Lig_delta,time
0.0,0.10013939877862399,0.028180393659594506
0.0,0.10029846109216056,0.05636078731918901
0.0,0.10046625845754376,0.08454118097878352
0.0,0.10064253888372254,0.11272157463837802
0.0,0.1008270779280096,0.14090196829797252
0.0,0.10101967798281364,0.16908236195756704
0.0,0.10123737490971207,0.19726275561716153
0.0,0.10154150517775118,0.22544314927675604
0.0,0.10245014356627224,0.25362354293635053
0.0,0.10771088603025503,0.28180393659594505
0.0,0.11320754152702095,0.30998433025553956
0.0,0.11887867792091,0.3381647239151341
0.0,0.12476107414227056,0.3663451175747286
0.0,0.13075748429802814,0.39452551123432306
0.0,0.1369565420862564,0.4227059048939176
0.0,0.1433266671076019,0.4508862985535121
0.0,0.14993164892605526,0.4790666922131066
0.0,0.1539007493112432,0.5072470858727011
0.0,0.15479992810551602,0.5354274795322956
0.0,0.16730974336551074,0.5636078731918901
0.0,0.20474310405932883,0.5917882668514847
0.0,0.2506869426827769,0.6199686605110791
0.0,0.2701490371364793,0.6481490541706736
0.0,0.23749484264356624,0.6763294478302682
0.0,0.18036161491723646,0.7045098414898626
0.0,0.1751382808570463,0.7326902351494572
0.0,0.34283865251681056,0.7608706288090517
0.0,0.5719425873843895,0.7890510224686461
0.0,0.828484814307479,0.8172314161282407
0.0,1.085525934322573,0.8454118097878351
0.0,1.3267593300236906,0.8735922034474297
0.0,1.5489722109327477,0.9017725971070242
0.0,1.7411381340462904,0.9299529907666186
0.0,1.9007916252328663,0.9581333844262132
0.0,2.018382087194645,0.9863137780858077
0.0,2.078126618594267,1.0144941717454021
0.0,2.0627840542829,1.0426745654049967
0.0,1.952916760406211,1.0708549590645913
0.0,1.7368394794838506,1.0990353527241856
0.0,1.4277603349231893,1.1272157463837802
0.0,1.0627103585575695,1.1553961400433748
0.0,1.108756022749557,1.1835765337029693
0.0,1.1931524079545368,1.2117569273625637
0.0,1.3966864321732504,1.2399373210221583
0.0,1.751919568856337,1.2681177146817528
0.0,2.0675030118740594,1.2962981083413472
0.0,2.352361198012246,1.3244785020009417
0.0,2.6138674876555577,1.3526588956605363
0.0,2.84149996466968,1.3808392893201307
0.0,3.0541027165984627,1.4090196829797252
0.0,3.251321951428139,1.4372000766393198
0.0,3.428514539647649,1.4653804702989144
0.0,3.600857287924283,1.4935608639585087
0.0,3.7629644027937355,1.5217412576181033
0.0,3.911692383866384,1.5499216512776979
0.0,4.06377461452407,1.5781020449372922
0.0,4.1985072044307845,1.6062824385968868
0.0,4.3280254390299975,1.6344628322564814
0.0,4.460575696477524,1.6626432259160757
0.0,4.581328568570345,1.6908236195756703
0.0,4.71416385638161,1.7190040132352649
0.0,4.833462844733797,1.7471844068948594
0.0,4.947445053887572,1.7753648005544538
0.0,5.065303057825977,1.8035451942140484
0.0,5.181037267017707,1.831725587873643
0.0,5.292174907187722,1.8599059815332373
0.0,5.428735531156312,1.8880863751928318
0.0,5.561102418907179,1.9162667688524264
0.0,5.716979971540001,1.9444471625120208
0.0,5.874098660489066,1.9726275561716153
0.0,6.049924891119199,2.0008079498312097
0.0,6.248840931633258,2.0289883434908043
0.0,6.456630387875471,2.057168737150399
0.0,6.563967451837677,2.0853491308099934
0.0,6.626343323689954,2.113529524469588
0.0,6.686024729498478,2.1417099181291825
0.0,6.764174915611296,2.169890311788777
0.0,6.852920189914138,2.1980707054483712
0.0,6.9370013887935,2.226251099107966
0.0,7.012257569134523,2.2544314927675604
0.0,7.084500228136414,2.282611886427155
0.0,7.147800051828884,2.3107922800867495
0.0,7.197452990177288,2.338972673746344
0.0,7.2369845910077775,2.3671530674059387
0.0,7.268479131861126,2.395333461065533
0.0,7.29319077261068,2.4235138547251274
0.0,7.312389922565137,2.451694248384722
0.0,7.3272961492881645,2.4798746420443165
0.0,7.339029641747753,2.508055035703911
0.0,7.347970521389529,2.5362354293635057
0.0,7.3548018577512595,2.5644158230231
0.0,7.360204601203291,2.5925962166826944
0.0,7.364596522187934,2.620776610342289
0.0,7.3681664581952235,2.6489570040018835
0.0,7.370986565858417,2.677137397661478
0.0,7.3731981057502285,2.7053177913210726
0.0,7.374973008314304,2.733498184980667
0.0,7.376429418037601,2.7616785786402613
0.0,7.377635108342187,2.789858972299856
0.0,7.378603660171794,2.8180393659594505
0.0,7.379265876116461,2.846219759619045
0.0,7.379414949180716,2.8744001532786396
0.0,7.378747622857156,2.902580546938234
0.0,7.377324462941036,2.9307609405978288
0.0,7.375728249588984,2.958941334257423
0.0,7.374453839974373,2.9871217279170175
0.0,7.373663829540596,3.015302121576612
0.0,7.373319416229976,3.0434825152362066
