threshold area perim q2 arg2 q3 arg3 q4 arg4 q5 arg5 q6 arg6 q7 arg7 q8 arg8 lambda velocity pattern timestep
1.500000000000000e+01 2.611210000000000e+05 0.000000000000000e+00 -nan 0.000000000000000e+00 -nan 0.000000000000000e+00 -nan 0.000000000000000e+00 -nan 0.000000000000000e+00 -nan 0.000000000000000e+00 -nan 0.000000000000000e+00 -nan 0.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.500000000000000e+01 5.069200000000000e+04 1.190489465456347e+03 1.170229250067223e-19 1.570796326794897e+00 2.984246212912645e-18 -1.570796326794896e+00 1.827068116560611e-01 0.000000000000000e+00 2.985703008807524e-18 1.602036160225164e+00 1.170229250067203e-19 -1.570796326794897e+00 8.952738638737931e-18 -1.570796326794897e+00 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
