pattern,lambda,velocities,N_clusters,A_clusters,time
sine,1,0.0,1,"[[101770, 160374]]",2.8744001532786396
sine,1,0.0,1,"[[104210, 157934]]",2.902580546938234
sine,1,0.0,1,"[[106498, 155646]]",2.9307609405978288
sine,1,0.0,1,"[[108722, 153422]]",2.958941334257423
sine,1,0.0,2,"[[111074, 148698, 2372]]",2.9871217279170175
sine,1,0.0,3,"[[113506, 2324, 144219, 2095]]",3.015302121576612
sine,1,0.0,3,"[[115970, 2051, 142269, 1854]]",3.0434825152362066
sine,1,0.0,3,"[[118522, 1801, 140197, 1624]]",3.071662908895801
sine,1,0.0,3,"[[121018, 1576, 138137, 1413]]",3.0998433025553958
sine,1,0.0,3,"[[123690, 1352, 135897, 1205]]",3.12802369621499
sine,1,0.0,3,"[[126362, 1157, 133599, 1026]]",3.1562040898745845
sine,1,0.0,3,"[[128906, 992, 131369, 877]]",3.184384483534179
sine,1,0.0,3,"[[131274, 875, 129221, 774]]",3.2125648771937736
sine,1,0.0,3,"[[133482, 792, 127171, 699]]",3.240745270853368
sine,1,0.0,3,"[[135618, 730, 125151, 645]]",3.2689256645129627
sine,1,0.0,3,"[[137514, 692, 123327, 611]]",3.2971060581725573
sine,1,0.0,3,"[[139354, 659, 121551, 580]]",3.3252864518321514
sine,1,0.0,3,"[[141074, 637, 119871, 562]]",3.353466845491746
sine,1,0.0,3,"[[142682, 613, 118311, 538]]",3.3816472391513406
sine,1,0.0,3,"[[144058, 601, 116957, 528]]",3.409827632810935
sine,1,0.0,3,"[[145490, 589, 115547, 518]]",3.4380080264705297
sine,1,0.0,3,"[[146914, 570, 114161, 499]]",3.4661884201301243
sine,1,0.0,3,"[[148234, 560, 112859, 491]]",3.494368813789719
sine,1,0.0,3,"[[149538, 550, 111575, 481]]",3.522549207449313
sine,1,0.0,3,"[[150810, 532, 110337, 465]]",3.5507296011089076
sine,1,0.0,3,"[[152018, 522, 109149, 455]]",3.578909994768502
sine,1,0.0,3,"[[153114, 516, 108063, 451]]",3.6070903884280967
sine,1,0.0,3,"[[154298, 503, 106905, 438]]",3.6352707820876913
sine,1,0.0,3,"[[155362, 493, 105861, 428]]",3.663451175747286
sine,1,0.0,3,"[[156426, 485, 104811, 422]]",3.6916315694068804
sine,1,0.0,3,"[[157442, 481, 103803, 418]]",3.7198119630664745
sine,1,0.0,3,"[[158354, 465, 102923, 402]]",3.747992356726069
sine,1,0.0,3,"[[159258, 455, 102037, 394]]",3.7761727503856637
sine,1,0.0,3,"[[159954, 451, 101349, 390]]",3.8043531440452583
sine,1,0.0,3,"[[160834, 440, 100491, 379]]",3.832533537704853
sine,1,0.0,3,"[[161722, 428, 99625, 369]]",3.8607139313644474
sine,1,0.0,3,"[[162594, 422, 98765, 363]]",3.8888943250240415
sine,1,0.0,3,"[[163338, 418, 98029, 359]]",3.917074718683636
sine,1,0.0,3,"[[164178, 406, 97211, 349]]",3.9452551123432307
sine,1,0.0,3,"[[164874, 396, 96535, 339]]",3.9734355060028252
sine,1,0.0,3,"[[165602, 390, 95819, 333]]",4.001615899662419
sine,1,0.0,3,"[[166178, 386, 95249, 331]]",4.029796293322014
sine,1,0.0,3,"[[166882, 373, 94571, 318]]",4.0579766869816085
sine,1,0.0,3,"[[167594, 365, 93875, 310]]",4.086157080641203
sine,1,0.0,3,"[[168210, 359, 93269, 306]]",4.114337474300798
sine,1,0.0,3,"[[168762, 351, 92733, 298]]",4.142517867960392
sine,1,0.0,3,"[[169386, 343, 92125, 290]]",4.170698261619987
sine,1,0.0,3,"[[169970, 337, 91553, 284]]",4.198878655279581
sine,1,0.0,3,"[[170506, 331, 91027, 280]]",4.227059048939176
sine,1,0.0,3,"[[171106, 320, 90449, 269]]",4.2552394425987705
sine,1,0.0,3,"[[171626, 314, 89941, 263]]",4.283419836258365
sine,1,0.0,3,"[[172106, 308, 89471, 259]]",4.31160022991796
sine,1,0.0,3,"[[172594, 304, 88991, 255]]",4.339780623577554
sine,1,0.0,3,"[[173058, 292, 88551, 243]]",4.367961017237148
sine,1,0.0,3,"[[173578, 284, 88045, 237]]",4.3961414108967425
sine,1,0.0,3,"[[173994, 282, 87633, 235]]",4.424321804556337
sine,1,0.0,3,"[[174474, 271, 87175, 224]]",4.452502198215932
sine,1,0.0,3,"[[174970, 263, 86693, 218]]",4.480682591875526
sine,1,0.0,3,"[[175338, 259, 86333, 214]]",4.508862985535121
sine,1,0.0,3,"[[175698, 257, 85977, 212]]",4.537043379194715
sine,1,0.0,3,"[[176258, 243, 85443, 200]]",4.56522377285431
sine,1,0.0,3,"[[176626, 239, 85083, 196]]",4.5934041665139045
sine,1,0.0,3,"[[177018, 235, 84699, 192]]",4.621584560173499
sine,1,0.0,3,"[[177490, 230, 84237, 187]]",4.649764953833094
sine,1,0.0,3,"[[177922, 220, 83823, 179]]",4.677945347492688
sine,1,0.0,3,"[[178362, 214, 83395, 173]]",4.706125741152283
sine,1,0.0,3,"[[178842, 212, 82919, 171]]",4.734306134811877
sine,1,0.0,3,"[[179210, 202, 82569, 163]]",4.762486528471471
sine,1,0.0,3,"[[179690, 196, 82101, 157]]",4.790666922131066
sine,1,0.0,3,"[[180098, 192, 81701, 153]]",4.81884731579066
sine,1,0.0,3,"[[180434, 190, 81367, 153]]",4.847027709450255
sine,1,0.0,3,"[[181002, 179, 80821, 142]]",4.875208103109849
sine,1,0.0,3,"[[181354, 175, 80477, 138]]",4.903388496769444
sine,1,0.0,3,"[[181690, 171, 80147, 136]]",4.9315688904290385
sine,1,0.0,3,"[[182130, 167, 79715, 132]]",4.959749284088633
sine,1,0.0,3,"[[182514, 159, 79347, 124]]",4.987929677748228
sine,1,0.0,3,"[[182962, 155, 78907, 120]]",5.016110071407822
sine,1,0.0,3,"[[183234, 153, 78637, 120]]",5.044290465067417
sine,1,0.0,3,"[[183642, 146, 78243, 113]]",5.072470858727011
sine,1,0.0,3,"[[184026, 140, 77871, 107]]",5.100651252386606
sine,1,0.0,3,"[[184266, 136, 77637, 105]]",5.1288316460462
sine,1,0.0,3,"[[184682, 136, 77221, 105]]",5.157012039705794
sine,1,0.0,3,"[[185018, 128, 76901, 97]]",5.185192433365389
sine,1,0.0,3,"[[185402, 122, 76529, 91]]",5.213372827024983
sine,1,0.0,3,"[[185642, 120, 76291, 91]]",5.241553220684578
sine,1,0.0,3,"[[185978, 120, 75955, 91]]",5.269733614344172
sine,1,0.0,3,"[[186322, 111, 75629, 82]]",5.297914008003767
sine,1,0.0,3,"[[186594, 105, 75367, 78]]",5.326094401663362
sine,1,0.0,3,"[[186914, 105, 75047, 78]]",5.354274795322956
sine,1,0.0,3,"[[187170, 105, 74791, 78]]",5.382455188982551
sine,1,0.0,3,"[[187458, 105, 74503, 78]]",5.410635582642145
sine,1,0.0,3,"[[187738, 91, 74249, 66]]",5.43881597630174
sine,1,0.0,3,"[[188106, 91, 73881, 66]]",5.466996369961334
sine,1,0.0,3,"[[188362, 91, 73625, 66]]",5.495176763620928
sine,1,0.0,3,"[[188698, 91, 73289, 66]]",5.523357157280523
sine,1,0.0,3,"[[188874, 91, 73113, 66]]",5.551537550940117
sine,1,0.0,3,"[[189314, 78, 72697, 55]]",5.579717944599712
sine,1,0.0,3,"[[189506, 78, 72505, 55]]",5.607898338259306
sine,1,0.0,3,"[[189874, 78, 72137, 55]]",5.636078731918901
sine,1,0.0,3,"[[190082, 78, 71929, 55]]",5.6642591255784955
sine,1,0.0,3,"[[190266, 78, 71745, 55]]",5.69243951923809
sine,1,0.0,3,"[[190650, 78, 71361, 55]]",5.720619912897685
sine,1,0.0,3,"[[190922, 78, 71089, 55]]",5.748800306557279
sine,1,0.0,3,"[[191290, 78, 70721, 55]]",5.776980700216874
sine,1,0.0,3,"[[191498, 78, 70513, 55]]",5.805161093876468
sine,1,0.0,3,"[[191882, 78, 70129, 55]]",5.833341487536063
sine,1,0.0,3,"[[192122, 78, 69889, 55]]",5.8615218811956575
sine,1,0.0,3,"[[192394, 78, 69617, 55]]",5.889702274855251
sine,1,0.0,3,"[[192714, 78, 69297, 55]]",5.917882668514846
sine,1,0.0,3,"[[192890, 83, 69111, 60]]",5.94606306217444
sine,1,0.0,3,"[[193226, 85, 68771, 62]]",5.974243455834035
sine,1,0.0,3,"[[193626, 87, 68367, 64]]",6.0024238494936295
sine,1,0.0,3,"[[194042, 91, 67943, 68]]",6.030604243153224
sine,1,0.0,3,"[[194522, 97, 67453, 72]]",6.058784636812819
sine,1,0.0,11,"[[195418, 104, 313, 209, 32161, 601, 288, 313, 32161, 209, 288, 79]]",6.086965030472413
sine,1,0.0,11,"[[196146, 114, 295, 181, 31869, 565, 270, 295, 31869, 181, 270, 89]]",6.115145424132008
sine,1,0.0,11,"[[196658, 125, 285, 160, 31653, 545, 260, 285, 31653, 160, 260, 100]]",6.143325817791602
sine,1,0.0,11,"[[197242, 133, 272, 139, 31413, 272, 519, 247, 31413, 139, 247, 108]]",6.171506211451197
sine,1,0.0,11,"[[197658, 135, 268, 133, 31221, 268, 511, 243, 31221, 133, 243, 110]]",6.1996866051107915
sine,1,0.0,11,"[[198154, 137, 270, 133, 30965, 270, 515, 245, 30965, 133, 245, 112]]",6.227866998770386
sine,1,0.0,11,"[[198698, 139, 268, 129, 30701, 268, 511, 243, 30701, 129, 243, 114]]",6.25604739242998
sine,1,0.0,11,"[[199250, 139, 268, 129, 30425, 268, 511, 243, 30425, 129, 243, 114]]",6.284227786089574
sine,1,0.0,11,"[[199698, 139, 268, 129, 30201, 268, 511, 243, 30201, 129, 243, 114]]",6.312408179749169
sine,1,0.0,11,"[[200202, 139, 266, 127, 29957, 266, 507, 241, 29957, 127, 241, 114]]",6.3405885734087635
sine,1,0.0,11,"[[200762, 139, 266, 127, 29677, 266, 507, 241, 29677, 127, 241, 114]]",6.368768967068358
sine,1,0.0,11,"[[201298, 139, 266, 127, 29409, 266, 507, 241, 29409, 127, 241, 114]]",6.396949360727953
sine,1,0.0,11,"[[201778, 139, 266, 127, 29169, 266, 507, 241, 29169, 127, 241, 114]]",6.425129754387547
sine,1,0.0,11,"[[202234, 139, 266, 127, 28941, 266, 507, 241, 28941, 127, 241, 114]]",6.453310148047142
sine,1,0.0,11,"[[202658, 139, 266, 127, 28729, 266, 507, 241, 28729, 127, 241, 114]]",6.481490541706736
sine,1,0.0,11,"[[203074, 137, 263, 126, 28533, 263, 501, 238, 28533, 126, 238, 112]]",6.509670935366331
sine,1,0.0,11,"[[203546, 137, 263, 126, 28297, 263, 501, 238, 28297, 126, 238, 112]]",6.5378513290259255
sine,1,0.0,11,"[[204050, 137, 263, 126, 28045, 263, 501, 238, 28045, 126, 238, 112]]",6.56603172268552
sine,1,0.0,11,"[[204650, 137, 263, 126, 27745, 263, 501, 238, 27745, 126, 238, 112]]",6.594212116345115
sine,1,0.0,11,"[[205042, 137, 263, 126, 27549, 263, 501, 238, 27549, 126, 238, 112]]",6.622392510004709
sine,1,0.0,11,"[[205530, 137, 263, 126, 27305, 263, 501, 238, 27305, 126, 238, 112]]",6.650572903664303
sine,1,0.0,11,"[[206226, 137, 263, 126, 26957, 263, 501, 238, 26957, 126, 238, 112]]",6.678753297323897
sine,1,0.0,11,"[[206354, 137, 263, 126, 26893, 263, 501, 238, 26893, 126, 238, 112]]",6.706933690983492
sine,1,0.0,11,"[[206666, 137, 261, 124, 26745, 261, 497, 236, 26745, 124, 236, 112]]",6.735114084643087
sine,1,0.0,11,"[[207090, 137, 261, 124, 26533, 261, 497, 236, 26533, 124, 236, 112]]",6.763294478302681
sine,1,0.0,11,"[[207514, 135, 259, 124, 26329, 259, 493, 234, 26329, 124, 234, 110]]",6.791474871962276
sine,1,0.0,11,"[[207906, 135, 259, 124, 26133, 259, 493, 234, 26133, 124, 234, 110]]",6.81965526562187
sine,1,0.0,11,"[[208274, 135, 259, 124, 25949, 259, 493, 234, 25949, 124, 234, 110]]",6.847835659281465
sine,1,0.0,11,"[[208594, 135, 259, 124, 25789, 259, 493, 234, 25789, 124, 234, 110]]",6.876016052941059
sine,1,0.0,11,"[[208802, 135, 259, 124, 25685, 259, 493, 234, 25685, 124, 234, 110]]",6.904196446600654
sine,1,0.0,11,"[[209162, 135, 259, 124, 25505, 259, 493, 234, 25505, 124, 234, 110]]",6.932376840260249
sine,1,0.0,11,"[[209426, 135, 259, 124, 25373, 259, 493, 234, 25373, 124, 234, 110]]",6.960557233919843
sine,1,0.0,11,"[[209714, 135, 259, 124, 25229, 259, 493, 234, 25229, 124, 234, 110]]",6.988737627579438
sine,1,0.0,11,"[[209938, 135, 259, 124, 25117, 259, 493, 234, 25117, 124, 234, 110]]",7.016918021239031
sine,1,0.0,11,"[[210154, 135, 259, 124, 25009, 259, 493, 234, 25009, 124, 234, 110]]",7.045098414898626
sine,1,0.0,11,"[[210378, 135, 259, 124, 24897, 259, 493, 234, 24897, 124, 234, 110]]",7.0732788085582206
sine,1,0.0,11,"[[210586, 135, 259, 124, 24793, 259, 493, 234, 24793, 124, 234, 110]]",7.101459202217815
sine,1,0.0,11,"[[210714, 135, 259, 124, 24729, 259, 493, 234, 24729, 124, 234, 110]]",7.12963959587741
sine,1,0.0,11,"[[210858, 135, 259, 124, 24657, 259, 493, 234, 24657, 124, 234, 110]]",7.157819989537004
sine,1,0.0,11,"[[211050, 133, 257, 124, 24569, 257, 489, 232, 24569, 124, 232, 108]]",7.186000383196599
sine,1,0.0,11,"[[211154, 133, 257, 124, 24517, 257, 489, 232, 24517, 124, 232, 108]]",7.214180776856193
sine,1,0.0,11,"[[211282, 133, 255, 122, 24461, 255, 485, 230, 24461, 122, 230, 108]]",7.242361170515788
sine,1,0.0,11,"[[211394, 133, 255, 122, 24405, 255, 485, 230, 24405, 122, 230, 108]]",7.2705415641753826
sine,1,0.0,11,"[[211506, 133, 255, 122, 24349, 255, 485, 230, 24349, 122, 230, 108]]",7.298721957834977
sine,1,0.0,11,"[[211618, 133, 255, 122, 24293, 255, 485, 230, 24293, 122, 230, 108]]",7.326902351494572
sine,1,0.0,11,"[[211666, 133, 253, 120, 24277, 253, 481, 228, 24277, 120, 228, 108]]",7.355082745154166
sine,1,0.0,11,"[[211786, 133, 253, 120, 24217, 253, 481, 228, 24217, 120, 228, 108]]",7.383263138813761
sine,1,0.0,11,"[[211850, 131, 251, 120, 24193, 251, 477, 226, 24193, 120, 226, 106]]",7.4114435324733545
sine,1,0.0,11,"[[211914, 131, 251, 120, 24161, 251, 477, 226, 24161, 120, 226, 106]]",7.439623926132949
sine,1,0.0,11,"[[211946, 131, 251, 120, 24145, 251, 477, 226, 24145, 120, 226, 106]]",7.467804319792544
sine,1,0.0,11,"[[211962, 131, 251, 120, 24137, 251, 477, 226, 24137, 120, 226, 106]]",7.495984713452138
sine,1,0.0,11,"[[212026, 131, 251, 120, 24105, 251, 477, 226, 24105, 120, 226, 106]]",7.524165107111733
sine,1,0.0,11,"[[212090, 129, 249, 120, 24081, 249, 473, 224, 24081, 120, 224, 104]]",7.552345500771327
sine,1,0.0,11,"[[212106, 129, 249, 120, 24073, 249, 473, 224, 24073, 120, 224, 104]]",7.580525894430922
sine,1,0.0,11,"[[212122, 129, 249, 120, 24065, 249, 473, 224, 24065, 120, 224, 104]]",7.6087062880905165
sine,1,0.0,11,"[[212154, 129, 247, 118, 24057, 247, 469, 222, 24057, 118, 222, 104]]",7.636886681750111
sine,1,0.0,11,"[[212186, 129, 247, 118, 24041, 247, 469, 222, 24041, 118, 222, 104]]",7.665067075409706
sine,1,0.0,11,"[[212218, 129, 247, 118, 24025, 247, 469, 222, 24025, 118, 222, 104]]",7.6932474690693
sine,1,0.0,11,"[[212266, 129, 247, 118, 24001, 247, 469, 222, 24001, 118, 222, 104]]",7.721427862728895
sine,1,0.0,11,"[[212266, 129, 247, 118, 24001, 247, 469, 222, 24001, 118, 222, 104]]",7.749608256388489
sine,1,0.0,11,"[[212282, 129, 247, 118, 23993, 247, 469, 222, 23993, 118, 222, 104]]",7.777788650048083
sine,1,0.0,11,"[[212282, 129, 247, 118, 23993, 247, 469, 222, 23993, 118, 222, 104]]",7.805969043707678
sine,1,0.0,11,"[[212298, 127, 245, 118, 23993, 245, 465, 220, 23993, 118, 220, 102]]",7.834149437367272
sine,1,0.0,11,"[[212298, 127, 245, 118, 23993, 245, 465, 220, 23993, 118, 220, 102]]",7.862329831026867
sine,1,0.0,11,"[[212298, 127, 245, 118, 23993, 245, 465, 220, 23993, 118, 220, 102]]",7.890510224686461
sine,1,0.0,11,"[[212314, 127, 245, 118, 23985, 245, 465, 220, 23985, 118, 220, 102]]",7.918690618346056
sine,1,0.0,11,"[[212346, 127, 245, 118, 23969, 245, 465, 220, 23969, 118, 220, 102]]",7.9468710120056505
sine,1,0.0,11,"[[212362, 127, 243, 116, 23969, 243, 461, 218, 23969, 116, 218, 102]]",7.975051405665245
sine,1,0.0,11,"[[212362, 127, 243, 116, 23969, 243, 461, 218, 23969, 116, 218, 102]]",8.003231799324839
sine,1,0.0,11,"[[212362, 127, 243, 116, 23969, 243, 461, 218, 23969, 116, 218, 102]]",8.031412192984433
sine,1,0.0,11,"[[212378, 127, 243, 116, 23961, 243, 461, 218, 23961, 116, 218, 102]]",8.059592586644028
sine,1,0.0,11,"[[212378, 127, 243, 116, 23961, 243, 461, 218, 23961, 116, 218, 102]]",8.087772980303622
sine,1,0.0,11,"[[212394, 125, 240, 115, 23961, 240, 457, 217, 23961, 115, 217, 102]]",8.115953373963217
sine,1,0.0,11,"[[212426, 125, 238, 113, 23953, 238, 453, 215, 23953, 113, 215, 102]]",8.144133767622812
sine,1,0.0,11,"[[212426, 125, 238, 113, 23953, 238, 453, 215, 23953, 113, 215, 102]]",8.172314161282406
sine,1,0.0,11,"[[212426, 125, 238, 113, 23953, 238, 453, 215, 23953, 113, 215, 102]]",8.200494554942
sine,1,0.0,11,"[[212426, 125, 238, 113, 23953, 238, 453, 215, 23953, 113, 215, 102]]",8.228674948601595
sine,1,0.0,11,"[[212442, 123, 236, 113, 23953, 236, 449, 213, 23953, 113, 213, 100]]",8.25685534226119
sine,1,0.0,11,"[[212442, 123, 236, 113, 23953, 236, 449, 213, 23953, 113, 213, 100]]",8.285035735920784
sine,1,0.0,11,"[[212442, 123, 236, 113, 23953, 236, 449, 213, 23953, 113, 213, 100]]",8.313216129580379
